B1,I feel in control in the conversation,alle fasen,0.5,true
B2,I think I am competent to solve the problem,fase 4,0.3,true
B3,I feel connected to KT,alle fasen,0.4,false,"Depends on B4, B5, B6, B7"
B4,I think KT can be trusted,fase 2,0.6,true
B5,I think KT understands me,alle fasen,0,true
B6,I think KT is interested in my story,fase 2,0,true
B7,I think KT can help me,fase 3,0.7,true
B8,I think KT can solve my problem,fase 3,1,true
B9,I think I talked about my situation,fase 2,0,true
B10,I think KT is asking about my wish,fase 3,0,true
B11,I think KT is asking for a positive wish,fase 3,0,true
B12,I think KT is asking about a confidant,fase 4,0,true
B13,I think my teacher can help me,fase 4,0.5,true
B14,I feel safe in the conversation,alle fasen,1,true
B15,I think KT wants to end the conversation,fase 5,0,true
B16,I think KT and I will find a solution together,fase 4,0,true
B17,I think KT will solve the problem for me,fase 4, 0,true
B18,I think if I hit back they will think I'm strong,fase 3,0.3,true
B19,I think if I hit back I will not be punished,fase 3,0.2,true
B20,I think if I walk away I will not be punished,fase 3,0.2,true
B21,I think if I walk away they will think I'm strong,fase 3,0.3,true
B22,I think if I don't tell anyone other kids will not be harmed or expelled,fase 3,0.8,true
B23,I think if I don't tell anyone I will not be harmed,fase 3,0.5,true
B24,I think if I tell someone I will not be harmed,fase 3,0.3,true
B25,I think if I tell someone other kids will not be harmed or expelled,fase 3,0.5,true
B26,a flag: activate if the calculated action is hitting back,fase 3,0,true
B27,a flag: activate if the calculated action is walking away,fase 3,0,true
B28,a flag: activate if the calculated action is not telling anyone,fase 3,0,true
B29,a flag: activate if the calculated action is telling someone,fase 3,0,true
